Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
roadway,Variety Coffee Roasters,Variety Cafe Inc.,Variety Cafe Inc.,142,Driggs Avenue,Brooklyn,11222,"142 Driggs Avenue, Brooklyn, NY",,210,no,yes,no,no,,40.723086,-73.944286,Greenpoint
both,Bocaditos Bistro,Bocaditos Bistro & Expresso Bar LLC,Bocaditos Bistro & Expresso Bar LLC,4863,Broadway,Manhattan,10034,"4863 Broadway, Manhattan, NY",630,336,yes,yes,yes,no,,40.866785,-73.923778,Marble Hill-Inwood
sidewalk,Govinda's,Bharati Center  Inc,ISKCON,305,Schermerhorn Street,Brooklyn,11217,"305 Schermerhorn Street, Brooklyn, NY",7500,,yes,no,no,no,,40.687562,-73.982389,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
both,Cafe LULUc,Mando Corp.,Cafe LULUc,214,214 Smith Street,Brooklyn,11201,"214 214 Smith Street, Brooklyn, NY",80,160,yes,yes,yes,no,,,,
sidewalk,Francis & Staub,Community USA II LLC,Francis & Staub,411,Park Avenue South,Manhattan,10016,"411 Park Avenue South, Manhattan, NY",570,,yes,no,yes,no,,40.743604,-73.983858,Murray Hill-Kips Bay
both,Jody's Club Forest,415 Forest Rest Inc.,Jody's Club Forest,372,Forest Ave,Staten Island,10301,"372 Forest Ave, Staten Island, NY",900,400,yes,yes,yes,no,,40.631016,-74.101896,New Brighton-Silver Lake
both,Bucaros rest,A small dream inc,Bucaros rest,138-59,Queens blvd,Queens,11435,"138-59  Queens blvd, Queens, NY",240,160,yes,yes,yes,no,,40.707419,-73.817425,Briarwood-Jamaica Hills
both,YOON Haeundae Galbi,"HUD Hospitality, LLC",YOON Haeundae Galbi,8,West 36th Street,Manhattan,10018,"8 West 36th Street, Manhattan, NY",51,272,yes,yes,yes,no,,40.749903,-73.984069,Midtown-Midtown South
openstreets,Black Forest Brooklyn,Black Forest Hospitality Group LLC,Black Forest Brooklyn,733,Fulton Street,Brooklyn,11217,"733 Fulton Street, Brooklyn, NY",,,no,no,yes,no,,40.686624,-73.975178,Fort Greene
roadway,Lagada Corp,Lagada Corp,Ritz Diner,1133,First Avenue,Manhattan,10065,"1133 First Avenue, Manhattan, NY",,360,no,yes,no,no,,40.761582,-73.960538,Lenox Hill-Roosevelt Island
both,AAA Lounge Inc,AAA Lounge Inc,Ignited,30-27,Steinway Street,Queens,11103,"30-27  Steinway Street, Queens, NY",300,140,yes,yes,no,no,,40.763024,-73.915688,Astoria
sidewalk,AK CAFE OF NEW YORK LLC,AK CAFE OF NEW YORK LLC,BABYLON,208,East 34th street,Manhattan,10016,"208  East 34th street, Manhattan, NY",1222,,yes,no,yes,no,,40.745557,-73.977747,Murray Hill-Kips Bay
both,"The Hibiscus Restaurant and Bar, Inc.","The Hibiscus Restaurant and Bar, Inc.","The Hibiscus Restaurant and Bar, Inc.",124-16/18,101st Avenue,Queens,11419,"124-16/18 101st Avenue, Queens, NY",720,320,yes,yes,yes,no,,,,
openstreets,Sticky Rice,Orchard 85 Corp,Sticky Rice,82,Orchard Street,Manhattan,10002,"82 Orchard Street, Manhattan, NY",,,no,no,yes,no,,40.717807,-73.990386,Chinatown
both,Gato Verde Sports Bar Corp,Gato Verde Sports Bar,Gato Verde Sports Bar,8214,Roosevelt Avenue,Queens,11372,"8214  Roosevelt Avenue, Queens, NY",68,68,yes,yes,yes,no,,40.74765,-73.883703,Elmhurst
sidewalk,Yura,"1350 Madison Avenue, LLC",YURA,1350,Madison Avenue,Manhattan,10128,"1350 Madison Avenue, Manhattan, NY",150,,yes,no,no,yes,yes,40.786414,-73.954771,Upper East Side-Carnegie Hill
both,Gt Kingston Diner,Gt Kingston Diner Inc,Gt Kingston Diner Inc,109 08,Liberty Ave,Queens,11419,"109 08  Liberty Ave , Queens, NY",168,168,yes,yes,yes,no,,40.684147,-73.832628,South Ozone Park
sidewalk,Europa,Europa bakery & pastry shop,Europa restaurant,2007,65th street,Brooklyn,11204,"2007 65th street, Brooklyn, NY",900,,yes,no,yes,no,,40.616269,-73.98543,Bensonhurst West
both,Laut,Lotus 17 Inc,Lotus 17 Inc,15,East 17th Street,Manhattan,10003,"15  East 17th Street, Manhattan, NY",273,210,yes,yes,yes,no,,40.737487,-73.991159,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Golden house,35-12 30 th Avenue,35-12 30 th Avenue,35-12,35th street,Queens,11103,"35-12  35th street , Queens, NY",90,,yes,no,no,no,,40.75627,-73.925605,Astoria
both,Le Rivage,340 West 46th street Corp,Le Rivage,340,West 46th street,Manhattan,10036,"340 West 46th street , Manhattan, NY",192,192,yes,yes,yes,no,,40.760307,-73.989167,Clinton
both,LOUKOUMI TAVERNA,KMP RESTAURANT CORP,KMP RESTAURANT CORP,4507,DITMARS BOULEVARD,Queens,11105,"4507 DITMARS BOULEVARD, Queens, NY",180,120,yes,yes,yes,no,,40.770735,-73.903046,Steinway
both,Hudson Clearwater,Village Restaurant Group LLC,Hudson Clearwater,447,Hudson Street,Manhattan,10014,"447 Hudson Street, Manhattan, NY",600,688,yes,yes,yes,yes,yes,40.731056,-74.006729,West Village
roadway,Baltimore restaurant inc,Baltimore restaurant inc,Sumela Mediterranean Cafe Grill,1606,First ave,Manhattan,10028,"1606 First ave, Manhattan, NY",,330,no,yes,yes,no,,40.775217,-73.950576,Yorkville
sidewalk,Bagels and Cream,Malimos Deli Corp,Bagels and Cream,80-02,Surrey Place,Queens,11432,"80-02  Surrey Place, Queens, NY",630,,yes,no,no,no,,40.726365,-73.789448,Jamaica Estates-Holliswood
sidewalk,Metro Diner,GA Diner INC,GA Diner INC,7324,Metropolitan Avenue,Queens,11379,"7324 Metropolitan Avenue, Queens, NY",825,,yes,no,no,no,,40.712754,-73.879002,Middle Village
both,JR Sushi,JR Sushi 2 Inc,JR Sushi 2 Inc,86A,West Broadway,Manhattan,10007,"86A  West Broadway, Manhattan, NY",133,152,yes,yes,yes,no,,40.715202,-74.009505,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Mingle Restaurant Inc,Mingle Restaurant Inc,Lucky Chen,13553,Northern Blvd,Queens,11354,"13553  Northern Blvd, Queens, NY",350,,yes,no,yes,no,,40.763022,-73.831715,Flushing
both,Nomad,78 Second Avenue Sandwich Shop,78 Second Avenue Sandwich Shop,78,2nd Avenue,Manhattan,10003,"78 2nd Avenue , Manhattan, NY",180,240,yes,yes,yes,yes,yes,40.726447,-73.98922,East Village
roadway,88 Weijia,88 Weijia Inc,88 Weijia Inc,36-24,Union Street,Queens,11354,"36-24 Union Street, Queens, NY",,96,no,yes,yes,no,,40.763352,-73.827989,Flushing
roadway,O Briens Bar and Grill,Tippford LLC,Tippford LLC,134 West,46th,Manhattan,10036,"134 West  46th, Manhattan, NY",,128,no,yes,yes,no,,,,
both,holland bar,HOLLAND COCKTAIL LOUNGE INC.,HOLLAND COCKTAIL LOUNGE INC.,532,"532 9th Ave, grand floor",Manhattan,10018,"532 532 9th Ave, grand floor, Manhattan, NY",80,136,yes,yes,yes,no,,,,
roadway,e's BAR,EE BAR LLC,e's BAR,511,Amsterdam Ave,Manhattan,10024,"511  Amsterdam Ave, Manhattan, NY",,189,no,yes,yes,no,,40.786706,-73.975715,Upper West Side
both,Patrizias of Brooklyn,Family Group enterprises inc,Patrizias of Brooklyn,35,broadway,Brooklyn,11249,"35 broadway, Brooklyn, NY",480,480,yes,yes,yes,no,,40.710705,-73.9674,North Side-South Side
openstreets,Eastpoint,25 B Group Rest Ave LLC,25 B Group Rest Ave LLC,25,Avenue B,Manhattan,10009,"25 Avenue B, Manhattan, NY",,,no,no,yes,no,,40.722316,-73.983214,Lower East Side
both,Carraghers,Dalglish7 Inc,Dalglish7 Inc,228,West 39th,Manhattan,10018,"228  West 39th, Manhattan, NY",816,384,yes,yes,yes,no,,40.754543,-73.989334,Midtown-Midtown South
sidewalk,BLACK BURGER,386 UNITED INC,BLACK BURGER,386,CANAL ST,Manhattan,10013,"386 CANAL ST, Manhattan, NY",32,,yes,no,no,no,,40.721406,-74.004733,SoHo-TriBeCa-Civic Center-Little Italy
both,Nine Thai,Ma Ta Thai,Nine Thai,110-70,Queens Blvd Forest Hills,Queens,11375,"110-70  Queens Blvd Forest Hills , Queens, NY",55,66,yes,yes,yes,no,,,,
both,Ess-a-Bagel,Ess-a-Bagel 883 6th Ave LLC,Ess-a-Bagel,108,West 32nd Street,Manhattan,10001,"108  West 32nd Street , Manhattan, NY",144,192,yes,yes,no,no,,40.748751,-73.98931,Midtown-Midtown South
sidewalk,Tequila sunrise of bayside,34-37 bell Blvd Corp,Tequila sunrise of bayside,34-37,Bell Blvd,Queens,11361,"34-37 Bell Blvd , Queens, NY",1080,,yes,no,yes,no,,40.769555,-73.773895,Bayside-Bayside Hills
both,Emily,Emmy Squared Bedford LLC,Emily,35,Downing Street,Manhattan,10014,"35  Downing Street, Manhattan, NY",135,496,yes,yes,yes,yes,yes,40.729272,-74.003904,West Village
both,BEN & JACK'S STEAKHOUSE,BJ&HR RESTAURANT GROUP LLC,BEN & JACK'S STEAKHOUSE,219,E 44TH STREET,Manhattan,10017,"219 E 44TH STREET, Manhattan, NY",512,192,yes,yes,yes,no,,40.751809,-73.972876,Turtle Bay-East Midtown
sidewalk,Dionysos Restaurant,Kerynia rest Corp,Kerynia rest Corp,23-15,31str,Queens,11105,"23-15 31str , Queens, NY",325,,yes,no,no,no,,40.773957,-73.913345,Steinway
both,Brooklyn Heights Wine Bar,Brooklyn Heights Wine Bar LLC,Brooklyn Heights Wine Bar,50,Henry St.,Brooklyn,11201,"50 Henry St., Brooklyn, NY",8,24,yes,yes,yes,yes,yes,40.699494,-73.992037,Brooklyn Heights-Cobble Hill
both,STK,Little West !2th LLC,STK Downtown,28,Little West 12th street,Manhattan,10014,"28 Little West 12th street, Manhattan, NY",490,490,yes,yes,yes,yes,yes,40.740026,-74.007311,West Village
sidewalk,CHOPT,CHOPT CREATIVE SALAD COMPANY,CHOPT CREATIVE SALAD COMPANY,1376,3rd Avenue,Manhattan,10075,"1376 3rd Avenue, Manhattan, NY",64,,yes,no,no,no,,40.773776,-73.957678,Upper East Side-Carnegie Hill
openstreets,R&D Foods,R&D&W Market LLC,R&D Foods,602,Vanderbilt Avenue,Brooklyn,11238,"602 Vanderbilt Avenue, Brooklyn, NY",,,no,no,no,yes,yes,40.678303,-73.968641,Prospect Heights
openstreets,sichuan hotpot cuisine,sichuan hotpot cuisine inc,sichuan hotpot cuisine inc,34,pell,Manhattan,10013,"34 pell, Manhattan, NY",,,no,no,yes,no,,40.714879,-73.998261,Chinatown
both,Leo's,8502 pizza and catering Corp,8502 pizza and catering Corp,8502,3 rd Avenue.,Brooklyn,11209,"8502  3 rd Avenue. , Brooklyn, NY",400,300,yes,yes,no,no,,,,
both,ETIQUETTE,53 BROADWAY RESTAURANT LLC,Four Happy Men Hospitality,undefined,53 BROADWAY,Brooklyn,11249,"53 BROADWAY, Brooklyn, NY",240,320,yes,yes,yes,no,,40.710614,-73.966581,North Side-South Side
both,THE MAZE,DA ROOM LLC,THE MAZE,undefined,32 WEST   32 STREET,Manhattan,10001,"32 WEST   32 STREET, Manhattan, NY",320,160,yes,yes,yes,no,,40.747793,-73.987029,Midtown-Midtown South
both,Village Square Pizza,The Village Square Pizza,The Village Square Pizza,147,Ave A,Manhattan,10009,"147 Ave A, Manhattan, NY",100,80,yes,yes,no,no,,40.727413,-73.982559,East Village
sidewalk,The Original Buddha Bodai,Buddha Bodai One Vegetarian Restaurant Inc.,Buddha Bodai One Vegetarian Restaurant Inc.,5,Mott Street,Manhattan,10013,"5 Mott Street, Manhattan, NY",24,,yes,no,no,no,,40.713882,-73.998709,Chinatown
sidewalk,mcdonalds,BDC RESTAURANTS LLC,BDC RESTAURANTS LLC,444,LENOX AVE,Manhattan,10037,"444  LENOX AVE, Manhattan, NY",640,,yes,no,no,no,,40.812289,-73.942174,Central Harlem North-Polo Grounds
both,Cafe Istanbul Inc,Cafe Istanbul Inc,Istanbul Lounge,25-47,Steinway Street,Queens,11103,"25-47  Steinway Street, Queens, NY",300,120,yes,yes,no,no,,40.76755,-73.912007,Astoria
openstreets,Young Ethel's,Young Ethel's LLC,Young Ethel's,506,5th Ave.,Brooklyn,11215,"506 5th Ave., Brooklyn, NY",,,no,no,yes,no,,40.66713,-73.988022,Park Slope-Gowanus
both,Fitoor Cafe & Grill Lounge,Junoon Lounge & Restaurant Inc,Fitoor Cafe and Grill,179-22,Union Turnpike,Queens,11366,"179-22 Union Turnpike, Queens, NY",800,320,yes,yes,no,no,,40.726822,-73.788425,Jamaica Estates-Holliswood
sidewalk,Little Italy Pizza,Chambers Church Pizza Inc,Little Italy Pizza,154,Church St,Manhattan,10007,"154  Church St, Manhattan, NY",288,,yes,no,yes,yes,yes,40.715007,-74.007889,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Abys bar,Abys bar corp,Abys bar corp,681,Seneca ave,Queens,11385,"681 Seneca ave , Queens, NY",192,,yes,no,yes,no,,40.703114,-73.908183,Ridgewood
both,Gazala's Restaurant,Gazala's 1 Inc,Gazala's 1 Inc,447,Amsterdam Avenue,Manhattan,10024,"447 Amsterdam Avenue, Manhattan, NY",360,72,yes,yes,yes,no,,40.784722,-73.977167,Upper West Side
roadway,Biskoti Bakery Cafe,The Bee Factory LLC,Biskoti Bakery Cafe,3720,30th Ave,Queens,11103,"3720 30th Ave, Queens, NY",,608,no,yes,no,no,,40.764526,-73.916361,Astoria
both,Sushi Ishikawa,DH and Sons Inc,Sushi Ishikawa,419,E 74th St,Manhattan,10021,"419 E 74th St, Manhattan, NY",60,160,yes,yes,yes,no,,40.768862,-73.954407,Lenox Hill-Roosevelt Island
both,Francis and Staub- La Rotisserie,Westaub II LLC,Francis and Staub- La Rotisserie,30 East,20th Street,Manhattan,10003,"30 East 20th Street, Manhattan, NY",504,336,yes,yes,yes,yes,yes,40.738936,-73.989221,Hudson Yards-Chelsea-Flatiron-Union Square
both,The Waylon,736 Tenth Avenue Cafe LLC,736 Tenth Avenue Cafe LLC,736,10th Avenue,Manhattan,10019,"736 10th Avenue , Manhattan, NY",95,184,yes,yes,yes,no,,40.764836,-73.991665,Clinton
roadway,Quality Eats,"Off Cuts, LLC",Quality Eats,19,Greenwich Avenue,Manhattan,10014,"19 Greenwich Avenue, Manhattan, NY",,126,no,yes,yes,yes,yes,40.734531,-73.999903,West Village
roadway,Middle Branch,Middle Branch,Middle Branch,154,33rd Street,Manhattan,10016,"154 33rd Street, Manhattan, NY",,80,no,yes,yes,no,,,,
both,La Masa Restaurant,La Masa Corp,La Masa Restaurant,1000,Morris Park Ave,Bronx,10462,"1000  Morris Park Ave , Bronx, NY",600,144,yes,yes,yes,no,,40.848139,-73.856154,Van Nest-Morris Park-Westchester Square
both,La Esquina,Esquina NYC 1402 Second LLC,La Esquina,1402,Second Avenue,Manhattan,10021,"1402  Second Avenue, Manhattan, NY",232,464,yes,yes,yes,no,,40.769376,-73.95793,Lenox Hill-Roosevelt Island
roadway,Good Enough to Eat,520 Columbus Ave LTD,Good Enough to Eat,520,Columbus Ave,Manhattan,10024,"520 Columbus Ave , Manhattan, NY",,80,no,yes,yes,yes,yes,40.785912,-73.972606,Upper West Side
both,River Thai & Beyond,1766 Amsterdam LLC,River Thai & Beyond,1766,Amsterdam Avenue,Manhattan,10031,"1766  Amsterdam Avenue, Manhattan, NY",96,128,yes,yes,no,no,,40.826802,-73.946472,Hamilton Heights
both,8th Hill Restaurant,8th Hill INC,8th Hill Inspired Mediterranean Cuisine,359,Columbus Avenue,Manhattan,10024,"359  Columbus Avenue, Manhattan, NY",540,300,yes,yes,yes,yes,yes,40.780542,-73.97649,Upper West Side
sidewalk,Darlings,RG Bar G LLC,Darlings,242,Himrod Street,Brooklyn,11237,"242  Himrod Street, Brooklyn, NY",250,,yes,no,yes,no,,40.700158,-73.919785,Bushwick North
both,The Grey Dog Carmine Inc.,The Grey Dog Carmine Inc.,The Grey Dog Carmine,49,Carmine St.,Manhattan,10014,"49 Carmine St., Manhattan, NY",496,496,yes,yes,yes,yes,yes,40.729934,-74.003738,West Village
both,Music box,Cajita musical music box,Cajita musical music box,4008 st,74 street,Queens,11373,"4008 st 74 street, Queens, NY",330,120,yes,yes,yes,yes,yes,,,
both,Roebling Sporting Club,K & M Cafe LLC,K & M Cafe LLC,225,North 8th street,Brooklyn,11211,"225 North 8th street, Brooklyn, NY",60,360,yes,yes,yes,no,,40.716967,-73.954829,North Side-South Side
both,Sweet Chick,SWEET CHICK LES LLC,SWEET CHICK,178,LUDLOW,Manhattan,10002,"178 LUDLOW, Manhattan, NY",345,690,yes,yes,yes,no,,40.721767,-73.987492,Chinatown
both,BUSHWICK TACO CO,BUSHWICK TACO COMPANY GLENDALE INC,BUSHWICK TACO COMPANY GLENDALE INC,7124,FRESH POND ROAD,Queens,11385,"7124 FRESH POND ROAD, Queens, NY",276,184,yes,yes,no,no,,40.701543,-73.894844,Ridgewood
both,NORA THAI,PLOYPERM CORP,PLOYPERM CORP,176,NORTH 9TH STREET,Brooklyn,11211,"176 NORTH 9TH STREET, Brooklyn, NY",300,200,yes,yes,yes,no,,40.718669,-73.956115,North Side-South Side
both,Gueros Brooklyn,177 Bedford LLC,Gueros Brooklyn,494,4th Ave,Brooklyn,11215,"494 4th Ave, Brooklyn, NY",80,360,yes,yes,yes,no,,40.668643,-73.990159,Park Slope-Gowanus
both,Lilliandloo,792 Restaurant Food Corp,792 Restaurant Food Corp,792,Lexington Ave,Manhattan,10065,"792  Lexington Ave, Manhattan, NY",240,16,yes,yes,yes,no,,40.763775,-73.96707,Upper East Side-Carnegie Hill
both,The Lowery Bar & Kitchen,JAKK LLC,THE LOWERY BAR & KITCHEN,43-02,"43-02 43rd Ave, Sunnyside",Queens,11104,"43-02  43-02 43rd Ave, Sunnyside, Queens, NY",568,568,yes,yes,yes,no,,,,
sidewalk,Black Sea Fish & Grill,Dinora Inc,Black Sea Fish & Grill,3100,Ocean Pkwy,Brooklyn,11235,"3100  Ocean Pkwy, Brooklyn, NY",1125,,yes,no,no,no,,40.575868,-73.968639,West Brighton
sidewalk,5 Napkin  Burger,La Scala Restaurant LLC,5 Napkin Burger,630,9th Avenue,Manhattan,10036,"630  9th Avenue, Manhattan, NY",1320,,yes,no,yes,no,,40.760038,-73.991449,Clinton
both,Karaoke boho/Boho's Kitchen,812 Broadway Inc,Karaoke boho/boho's Ktichen,152,orchard street,Manhattan,10002,"152 orchard street, Manhattan, NY",150,150,yes,yes,yes,no,,40.720727,-73.988889,Chinatown
sidewalk,Pret A Manger,Pret A Manger (USA) Limited,Pret A Manger,880,3 Avenue,Manhattan,10022,"880 3 Avenue, Manhattan, NY",40,,yes,no,no,no,,40.75791,-73.969254,Turtle Bay-East Midtown
both,JUST MADE 4 U,JUST MADE 4 U LTD,JUST MADE 4 U LTD,80-21,37TH AVE,Queens,11372,"80-21  37TH AVE , Queens, NY",256,128,yes,yes,no,yes,yes,40.74959,-73.885897,Jackson Heights
both,MILO'S YARD,MINDERBINDER ENTERPRISES LLC,MILO'S YARD,564,SENECA AVENUE,Queens,11385,"564 SENECA AVENUE, Queens, NY",100,160,yes,yes,yes,no,,40.704763,-73.911008,Ridgewood
both,HOMEMADE BY MIRIAM,ZEHUZE TRIBECA CORP,ZEHUZE TRIBECA CORP,88,WEST BROADWAY,Manhattan,10007,"88 WEST BROADWAY, Manhattan, NY",400,400,yes,yes,no,no,,40.715241,-74.009473,SoHo-TriBeCa-Civic Center-Little Italy
both,Tres Chivos,Tres Chivos Restaurant corp.,Tres Chivos Restaurant corp.,5717,5th Avenue,Brooklyn,11220,"5717 5th Avenue, Brooklyn, NY",96,80,yes,yes,no,no,,40.641032,-74.014543,Sunset Park East
both,Bay Parkway Seafood Palace Inc,Bay Parkway Seafood Palace Inc,Bay Parkway Seafood Palace Inc,2172,86th Street,Brooklyn,11214,"2172  86th Street, Brooklyn, NY",75,200,yes,yes,no,no,,40.602252,-73.994325,Bensonhurst West
sidewalk,DAXI SICHUAN INC,DAXI SICHUAN INC,DAXI SICHUAN INC,4021,MAIN STREET,Queens,11354,"4021 MAIN STREET, Queens, NY",15,,yes,no,no,no,,40.758924,-73.829809,Flushing
both,Blend Coffee + CoWork,Blend Coffee Corp,Blend Coffee and CoWork,6808,4th avenue,Brooklyn,11220,"6808  4th avenue , Brooklyn, NY",135,120,yes,yes,no,no,,40.635176,-74.023304,Bay Ridge
both,SABA RESTAURANT,NEW YORKER 2040 CORP,NEW YORKER 2040 CORP,25-75,STEINWAY STREET,Queens,11103,"25-75 STEINWAY STREET, Queens, NY",150,192,yes,yes,no,no,,40.767525,-73.912025,Astoria
both,Lola Taverna,Lola Taverna,Lola Taverna,210,6th Avenue,Manhattan,10014,"210 6th Avenue, Manhattan, NY",400,160,yes,yes,yes,yes,yes,40.727208,-74.003337,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,The Beer Garden,TARG enterprises inc,The Beer Garden,1883,Victory Blvd,Staten Island,10314,"1883 Victory Blvd , Staten Island, NY",576,,yes,no,yes,no,,40.612805,-74.126558,Westerleigh
openstreets,Enzos of Arthur Avenue,2343 Enzo Holdings LLC,2343 Enzo Holdings LLC,2339-2343,Arthur ave,Bronx,10458,"2339-2343 Arthur ave, Bronx, NY",,,no,no,yes,no,,40.854257,-73.888693,Belmont
both,BRISA DOMINICANA RESTAURANT CORP,BRISA DOMINICANA RESTAURANT CORP,BRISA DOMINICANA RESTAURANT CORP,1764,AMSTERDAM AVENUE,Manhattan,10031,"1764 AMSTERDAM AVENUE , Manhattan, NY",128,200,yes,yes,yes,no,,40.826758,-73.946505,Hamilton Heights
both,Helena Fusion Restaurant,El encuentro Inc,El encuentro Inc,8404,37th ave,Queens,11372,"8404 37th ave , Queens, NY",234,104,yes,yes,yes,yes,yes,40.749951,-73.882284,Jackson Heights
both,Kitchen sink,88 2nd ave food corp,Kitchen sink,88,2nd ave,Manhattan,10004,"88  2nd ave , Manhattan, NY",900,160,yes,yes,yes,no,,40.72687,-73.988909,East Village
both,KANTU INC,KANTU INC,KANTU INC,7417,METROPOLITAN AVENUE,Queens,11379,"7417  METROPOLITAN AVENUE, Queens, NY",45,80,yes,yes,yes,no,,40.712933,-73.877368,Middle Village
both,TROPICAL RESTAURANT,ROOSEVELT TROPICAL CORP,ROOSEVELT TROPICAL CORP,6722,ROOSEVELT AVE,Queens,11377,"6722 ROOSEVELT AVE, Queens, NY",532,608,yes,yes,yes,no,,40.746165,-73.897834,Woodside
sidewalk,mido,joa restaurant inc.,mido,612,amsterdam ave,Manhattan,10024,"612 amsterdam ave, Manhattan, NY",150,,yes,no,yes,no,,40.790005,-73.973334,Upper West Side
both,La Bella vita,H  & M restaurants inc,La Bella vita,163,Mulberry street,Manhattan,10013,"163  Mulberry street , Manhattan, NY",144,144,yes,yes,yes,no,,40.719753,-73.997143,SoHo-TriBeCa-Civic Center-Little Italy
both,SHAKING CRAB,SC BROADWAY LLC,Shaking Crab,undefined,2869 BROADWAY,Manhattan,10025,"2869 BROADWAY, Manhattan, NY",84,48,yes,yes,yes,no,,40.805121,-73.966017,Morningside Heights
both,POSITANO,OSTERIA POSITANO LLC,POSITANO,10018,4TH AVENUE,Brooklyn,11209,"10018  4TH AVENUE, Brooklyn, NY",696,696,yes,yes,yes,no,,40.612526,-74.033925,Bay Ridge
roadway,Ovelia Restaurant,Mangia Restaurant Corporation,Ovelia Psistaria,3401,30th ave,Queens,11103,"3401  30th ave, Queens, NY",,1743,no,yes,yes,no,,40.765721,-73.918861,Astoria
sidewalk,Cj's Bar & Lounge,Cj's Bar & Lounge,Cj's Bar & Lounge,137-09,Cross Bay Blvd,Queens,11417,"137-09  Cross Bay Blvd, Queens, NY",405,,yes,no,yes,no,,40.671816,-73.843092,Ozone Park
both,KENT ALE HOUSE,51 KENT CAFE INC,KENT ALE HOUSE,51,KENT AVE,Brooklyn,11249,"51 KENT AVE, Brooklyn, NY",525,456,yes,yes,yes,no,,40.722447,-73.959425,North Side-South Side
sidewalk,KBBQ 162 CORP,KBBQ162 CORP,KIMCHAYUL BBQ,41-22,162ND STREET,Queens,11358,"41-22 162ND STREET, Queens, NY",48,,yes,no,no,no,,40.76106,-73.803903,Murray Hill
roadway,Cozy Corner,Cozy Corner Corp,Cozy Corner Corp,60-01,70th Ave,Queens,11385,"60-01  70th Ave , Queens, NY",,800,no,yes,yes,yes,yes,40.701626,-73.898577,Ridgewood
sidewalk,South Slope Eatery,Green Kitchen Park Slope LLC,Green Kitchen Park Slope LLC,486,5th Avenue,Brooklyn,11215,"486 5th Avenue, Brooklyn, NY",100,,yes,no,no,no,,40.66775,-73.987502,Park Slope-Gowanus
sidewalk,Franchia Vegan Cafe,Franchia Inc.,Franchia Vegan Cafe,12,Park Avenue,Manhattan,10016,"12 Park Avenue, Manhattan, NY",275,,yes,no,yes,yes,yes,40.747419,-73.981107,Midtown-Midtown South
sidewalk,McDonalds,"MIC-EASTCHESTER, LLC","MIC-EASTCHESTER, LLC",1826,Eastchester Road,Bronx,10461,"1826 Eastchester Road, Bronx, NY",600,,yes,no,no,no,,40.850167,-73.844919,Pelham Parkway
roadway,Ramen Bar,"Fat Boy Noodle Bar, Inc.",Ramen Bar,140,Plymouth Street,Brooklyn,11201,"140  Plymouth Street, Brooklyn, NY",,320,no,yes,no,no,,40.703803,-73.988188,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
sidewalk,Saffron Restaurant,Saffron Restaurant Inc.,Saffron Restaurant,161-50,Crossbay Blvd.,Queens,11414,"161-50  Crossbay Blvd., Queens, NY",4900,,yes,no,yes,no,,40.654982,-73.83885,Lindenwood-Howard Beach
sidewalk,The Wilky,108 GIGS LLC,THE WILKY,108,PATCHEN AVENUE,Brooklyn,11221,"108 PATCHEN AVENUE, Brooklyn, NY",1260,,yes,no,yes,no,,40.688059,-73.927101,Stuyvesant Heights
both,Le Pain Quotidien Madison,APQ 1131 Madison Ave NY LLC,Le Pain Quotidien,1131,Madison Ave,Manhattan,10028,"1131 Madison Ave, Manhattan, NY",90,240,yes,yes,no,no,,40.77981,-73.959563,Upper East Side-Carnegie Hill
both,Bounce Sporting Club,New Lounge 4324 LLC,Bounce Sporting Club,55,west 21st street,Manhattan,10010,"55 west 21st street , Manhattan, NY",140,368,yes,yes,yes,yes,yes,40.740998,-73.992234,Hudson Yards-Chelsea-Flatiron-Union Square
roadway,Libertador,Don Pablo inc,libertador,235,89,Manhattan,10128,"235 89, Manhattan, NY",,240,no,yes,yes,no,,,,
sidewalk,SOFIA'S PIZZA,"M &amp; R PIZZA, INC.",SOFIA'S PIZZA,undefined,112-15 LINDEN BOULEVARD,Queens,11420,"112-15 LINDEN BOULEVARD, Queens, NY",625,,yes,no,yes,no,,40.677228,-73.825597,South Ozone Park
both,Big Bar,Tomkin Square Kids Inc.,Big Bar,75,East 7th,Manhattan,10003,"75 East 7th, Manhattan, NY",112,128,yes,yes,yes,no,,40.727367,-73.986647,East Village
both,Viand Diner & Bar,EGS LLC,The Viand,517,Columbus Avenue,Manhattan,10024,"517 Columbus Avenue, Manhattan, NY",560,400,yes,yes,yes,yes,yes,40.785706,-73.972733,Upper West Side
both,KUUN,KUUN INC,KUUN,290,Livingston St,Brooklyn,11217,"290 Livingston St, Brooklyn, NY",210,280,yes,yes,yes,no,,40.688563,-73.983013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
